mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	0	0	0	1.0	0	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		2
1	0	0	0	1.0	0	1/2	2/2	1	3	1/4	1/4	1		-3	51	Eb3	3		3
1	0	0	0	1.0	0	1/2	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	0
1	0	1	1	1.0	1/4	3/4	2/2	1	1	1/4	1/4	1		2	62	D4	4	-200.0	1
2	1	2	2	1.0	0	0	2/2	1	2	1/4	1/4	1		-1	53	F3	3		10
2	1	2	2	1.0	0	0	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	-200.0	4
2	1	3	3	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	5
2	1	7/2	7/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	6
2	1	4	4	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		2	50	D3	3		11
2	1	4	4	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		-2	58	Bb3	3	-200.0	7
2	1	5	5	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	8
2	1	11/2	11/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		9
3	2	6	6	1.0	0	0	2/2	1	1	1/4	1/4	1		1	55	G3	3		12
3	2	7	7	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		13
3	2	15/2	15/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	47	B2	2		14
3	2	8	8	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		0	48	C3	3		15
3	2	9	9	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	16
3	2	19/2	19/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		17
4	3	10	10	1.0	0	0	2/2	1	1	1/4	1/4	1		-1	53	F3	3		18
4	3	11	11	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	50	D3	3		19
4	3	23/2	23/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	45	A2	2		20
4	3	12	12	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		5	47	B2	2		21
4	3	25/2	25/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		22
4	3	13	13	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	23
5	4	14	14	1.0	0	0	2/2	1	2	1/4	1/4	1		0	36	C2	2		31
5	4	14	14	1.0	0	0	2/2	1	3	1/4	1/4	1		1	43	G2	2		32
5	4	14	14	1.0	0	0	2/2	1	1	1/4	1/4	1		-3	51	Eb3	3		24
5	4	15	15	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	50	D3	3		25
5	4	31/2	31/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		0	48	C3	3		26
5	4	16	16	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		1	55	G3	3		27
5	4	33/2	33/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		28
5	4	17	17	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	29
5	4	35/2	35/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	30
6	5	18	18	0.5	0	0	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	33
6	5	37/2	37/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		34
6	5	19	19	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	35
6	5	39/2	39/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	52	E3	3		36
6	5	20	20	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	37
6	5	41/2	41/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		38
6	5	21	21	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	39
6	5	43/2	43/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		40
7	6	22	22	0.5	0	0	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	41
7	6	45/2	45/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		42
7	6	23	23	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	43
7	6	47/2	47/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		44
7	6	24	24	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	45
7	6	49/2	49/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		46
7	6	25	25	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	47
7	6	51/2	51/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	48
8	7	26	26	0.5	0	0	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	49
8	7	53/2	53/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3		50
8	7	27	27	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-3	63	Eb4	4	-200.0	51
8	7	55/2	55/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3		52
8	7	28	28	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	53
8	7	57/2	57/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3		54
8	7	29	29	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	55
8	7	59/2	59/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3		56
9	8	30	30	0.5	0	0	2/2	1	1	1/8	1/8	1		4	64	E4	4	-200.0	57
9	8	61/2	61/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3		58
9	8	31	31	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	59
9	8	63/2	63/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	64	E4	4	-200.0	60
9	8	32	32	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	61
9	8	65/2	65/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	62
9	8	33	33	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	63
9	8	67/2	67/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	64
10	9	34	34	1.0	0	0	2/2	1	2	1/4	1/4	1		0	48	C3	3		71
10	9	34	34	1.0	0	0	2/2	1	3	1/4	1/4	1		1	55	G3	3		73
10	9	34	34	1.0	0	0	2/2	1	1	1/4	1/4	1		5	59	B3	3	-200.0	65
10	9	35	35	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	66
10	9	71/2	71/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	67
10	9	36	36	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-3	51	Eb3	3		72
10	9	36	36	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	59	B3	3	-200.0	68
10	9	37	37	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	69
10	9	75/2	75/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	70
11	10	38	38	1.0	0	0	2/2	1	2	1/4	1/4	1		2	50	D3	3		80
11	10	38	38	1.0	0	0	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	74
11	10	39	39	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	75
11	10	79/2	79/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	76
11	10	40	40	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		81
11	10	40	40	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		1	55	G3	3		82
11	10	40	40	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	77
11	10	41	41	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	65	F4	4	-200.0	78
11	10	83/2	83/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	79
12	11	42	42	1.0	0	0	2/2	1	1	1/4	1/4	1		4	64	E4	4	-200.0	83
12	11	43	43	1.0	1/4	1/4	2/2	1	2	1/4	1/4	1		-2	46	Bb2	2		89
12	11	43	43	1.0	1/4	1/4	2/2	1	3	1/4	1/4	1		2	50	D3	3		92
12	11	43	43	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	84
12	11	44	44	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		90
12	11	44	44	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		1	55	G3	3		93
12	11	44	44	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	85
12	11	89/2	89/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	-200.0	86
12	11	45	45	0.5	3/4	3/4	2/2	1	2	1/8	1/8	1		2	50	D3	3		91
12	11	45	45	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	87
12	11	91/2	91/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		6	54	F#3	3		88
13	12	46	46	2.0	0	0	2/2	1	2	1/2	1/2	1		1	43	G2	2		95
13	12	46	46	2.0	0	0	2/2	1	3	1/2	1/2	1		2	50	D3	3		96
13	12	46	46	2.0	0	0	2/2	1	1	1/2	1/2	1		3	57	A3	3	-200.0	94
14	13	48	48	1.0	0	1/2	2/2	1	2	1/4	1/4	1		1	43	G2	2		99
14	13	48	48	1.0	0	1/2	2/2	1	3	1/4	1/4	1		2	50	D3	3		100
14	13	48	48	1.0	0	1/2	2/2	1	1	1/4	1/4	1		0	60	C4	4	-200.0	97
14	13	49	49	1.0	1/4	3/4	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	98
15	14	50	50	1.0	0	0	2/2	1	2	1/4	1/4	1		0	36	C2	2		107
15	14	50	50	1.0	0	0	2/2	1	3	1/4	1/4	1		1	43	G2	2		109
15	14	50	50	1.0	0	0	2/2	1	1	1/4	1/4	1		4	52	E3	3		101
15	14	51	51	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		102
15	14	103/2	103/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		103
15	14	52	52	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		-2	46	Bb2	2		108
15	14	52	52	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	52	E3	3		104
15	14	53	53	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	105
15	14	107/2	107/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	52	E3	3		106
16	15	54	54	1.0	0	0	2/2	1	2	1/4	1/4	1		-4	44	Ab2	2		116
16	15	54	54	1.0	0	0	2/2	1	1	1/4	1/4	1		-1	53	F3	3		110
16	15	55	55	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	55	G3	3		111
16	15	111/2	111/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	52	E3	3		112
16	15	56	56	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		-1	53	F3	3		113
16	15	57	57	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	114
16	15	115/2	115/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		115
17	16	58	58	1.0	0	0	2/2	1	2	1/4	1/4	1		4	52	E3	3		123
17	16	58	58	1.0	0	0	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	117
17	16	59	59	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	118
17	16	119/2	119/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		119
17	16	60	60	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		0	48	C3	3		124
17	16	60	60	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		4	52	E3	3		125
17	16	60	60	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		3	57	A3	3	-200.0	120
17	16	61	61	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	-200.0	121
17	16	123/2	123/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	122
18	17	62	62	1.0	0	0	2/2	1	2	1/4	1/4	1		-1	53	F3	3		134
18	17	62	62	0.5	0	0	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	126
18	17	125/2	125/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	127
18	17	63	63	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	-200.0	128
18	17	127/2	127/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3		129
18	17	64	64	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3		130
18	17	129/2	129/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		1	55	G3	3		131
18	17	65	65	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		132
18	17	131/2	131/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		133
19	18	66	66	0.5	0	0	2/2	1	1	1/8	1/8	1		2	50	D3	3		135
19	18	133/2	133/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-4	44	Ab2	2		136
19	18	67	67	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		137
19	18	135/2	135/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		0	48	C3	3		138
19	18	68	68	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	50	D3	3		139
19	18	137/2	137/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-4	44	Ab2	2		140
19	18	69	69	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	141
19	18	139/2	139/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		142
20	19	70	70	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		143
20	19	141/2	141/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		1	43	G2	2		144
20	19	71	71	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3		145
20	19	143/2	143/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	50	D3	3		146
20	19	72	72	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		147
20	19	145/2	145/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		1	43	G2	2		148
20	19	73	73	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	-200.0	149
20	19	147/2	147/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		150
21	20	74	74	0.5	0	0	2/2	1	1	1/8	1/8	1		-1	53	F3	3		151
21	20	149/2	149/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2		152
21	20	75	75	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	55	G3	3		153
21	20	151/2	151/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3		154
